,pointid_in_layer,layer_name,lclass,index,geometry,id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDBI,NDWI,NDVI,BSI
48,162,RoadsAndPavements,1,48,POINT (482990.9100880928 1276836.784728112),2832,0.158969447016716,0.18459999561309814,0.24400000274181366,0.2937999963760376,0.3330937623977661,0.3288062512874603,0.32958748936653137,0.30959999561309814,0.32225000858306885,0.319843053817749,0.3939812481403351,0.4002875089645386,0.11993106454610825,-0.11849711090326309,0.02618495188653469,0.16821476817131042
49,217,BareLand,6,49,POINT (478511.4658717125 1283386.5045617812),917,0.11010000109672546,0.14319999516010284,0.20819999277591705,0.2653999924659729,0.29789999127388,0.3080500066280365,0.32231250405311584,0.3264000117778778,0.3178875148296356,0.3176187574863434,0.456193745136261,0.38708749413490295,0.16585074365139008,-0.2210998833179474,0.10307536274194717,0.16298863291740417
50,693,RoadsAndPavements,1,50,POINT (479220.05833905283 1266528.4800007998),3363,0.0850854143500328,0.10639999806880951,0.1454000025987625,0.16099999845027924,0.19369375705718994,0.227974995970726,0.2428312450647354,0.25619998574256897,0.25168123841285706,0.2529124915599823,0.26938125491142273,0.2273000031709671,0.025079376995563507,-0.2758964002132416,0.2281879186630249,0.034225594252347946
51,599,Building,3,51,POINT (484090.78629933076 1284346.148613567),1869,0.11618749797344208,0.30239999294281006,0.36719998717308044,0.39719998836517334,0.33570626378059387,0.34264999628067017,0.3474062383174896,0.37400001287460327,0.3363812565803528,0.3286437392234802,0.42739999294281006,0.43421876430511475,0.06663338840007782,-0.00917431153357029,-0.030082987621426582,0.10280993580818176
52,11,AgriculturalLand,5,52,POINT (487190.8586716567 1287865.023608839),11,0.0982520803809166,0.08709999918937683,0.12200000137090683,0.11800000071525574,0.198768749833107,0.3164375126361847,0.3549937605857849,0.3668000102043152,0.3741750121116638,0.33535417914390564,0.294887512922287,0.22383125126361847,-0.10868045687675476,-0.5008183121681213,0.5132012963294983,-0.1408374309539795
53,254,Water,4,53,POINT (482182.1866555122 1276032.1442021257),4324,0.05471041798591614,0.04820000007748604,0.065700002014637,0.0494999997317791,0.06559374928474426,0.047318749129772186,0.05021874979138374,0.04039999842643738,0.039900001138448715,0.14881041646003723,0.04503750056028366,0.04313749819993973,0.05427944287657738,0.23845428228378296,-0.10122358053922653,0.02227739803493023
54,311,Water,4,54,POINT (478854.61804899486 1287436.3072073758),4381,0.09000416845083237,0.12200000137090683,0.17319999635219574,0.18320000171661377,0.20255625247955322,0.12280625104904175,0.12358125299215317,0.10159999877214432,0.07756250351667404,0.03343333303928375,0.013718750327825546,0.009768749587237835,-0.7620725035667419,0.26055312156677246,-0.28651684522628784,-0.07353228330612183
55,511,Forest,0,55,POINT (496105.9789498575 1279818.279615294),2481,0.05113958194851875,0.04879999905824661,0.07919999957084656,0.048900000751018524,0.11837500333786011,0.28290626406669617,0.33707499504089355,0.3815999925136566,0.35801875591278076,0.3495270907878876,0.18517500162124634,0.09506875276565552,-0.3465661108493805,-0.65625,0.7728223204612732,-0.49868878722190857
56,536,BareLand,6,56,POINT (483630.28223314614 1270909.770421431),1236,0.1103583350777626,0.164000004529953,0.22699999809265137,0.28060001134872437,0.30153125524520874,0.35094374418258667,0.3799999952316284,0.39640000462532043,0.39240625500679016,0.37590208649635315,0.46213749051094055,0.3663312494754791,0.07656916230916977,-0.27173563838005066,0.17104874551296234,0.0716715082526207
57,664,SavannahGrassland,2,57,POINT (476636.52352166676 1265634.870597106),4034,0.0624319426715374,0.08919999748468399,0.11900000274181366,0.15539999306201935,0.20255625247955322,0.24220000207424164,0.2703000009059906,0.2727999985218048,0.30364999175071716,0.3247368037700653,0.40658751130104065,0.2960062623023987,0.19692370295524597,-0.39254721999168396,0.2741709351539612,0.10991585999727249
58,343,Water,4,58,POINT (486177.9363563596 1287891.0650348414),4413,0.06783542037010193,0.08839999884366989,0.1143999993801117,0.09969999641180038,0.08597499877214432,0.04491874948143959,0.04468125104904175,0.03620000183582306,0.027893749997019768,0.017868055030703545,0.014962499961256981,0.011775000020861626,-0.4150989353656769,0.5192562937736511,-0.4672553241252899,-0.055596739053726196
59,639,RoadsAndPavements,1,59,POINT (481829.25755321153 1275271.4063448217),3309,0.07772569358348846,0.10580000281333923,0.12720000743865967,0.1356000006198883,0.1347375065088272,0.14112499356269836,0.14752499759197235,0.15219999849796295,0.1533687561750412,0.16636596620082855,0.20273125171661377,0.18537500500679016,0.1423691213130951,-0.08947744965553284,0.0576789453625679,0.10876981168985367
60,144,BareLand,6,60,POINT (487510.69798753184 1281037.7635533686),844,0.12046875059604645,0.1534000039100647,0.21580000221729279,0.27619999647140503,0.3077250123023987,0.31426873803138733,0.3322562575340271,0.3271999955177307,0.32720625400543213,0.32734790444374084,0.43559375405311584,0.4367062449455261,0.142100989818573,-0.20515653491020203,0.08452104777097702,0.1946418434381485
61,534,RoadsAndPavements,1,61,POINT (482723.00961278955 1276528.7028054635),3204,0.17732639610767365,0.20980000495910645,0.2565999925136566,0.29760000109672546,0.3217187523841858,0.3172312378883362,0.32100000977516174,0.32359999418258667,0.3205937445163727,0.32183125615119934,0.42336249351501465,0.4597187638282776,0.13355757296085358,-0.11547742038965225,0.04185447469353676,0.17348375916481018
62,636,RoadsAndPavements,1,62,POINT (481799.47631877044 1275238.189522505),3306,0.07036041468381882,0.09380000084638596,0.10899999737739563,0.11699999868869781,0.15825624763965607,0.17332500219345093,0.18651874363422394,0.15520000457763672,0.20116250216960907,0.24762777984142303,0.25206875801086426,0.20793749392032623,0.23784969747066498,-0.17486752569675446,0.1403379887342453,0.1323097050189972
63,127,Water,4,63,POINT (489574.71224197996 1274623.4218945347),4197,0.07708124816417694,0.0478999987244606,0.045499999076128006,0.055799998342990875,0.09248124808073044,0.09700000286102295,0.10836874693632126,0.0640999972820282,0.1115187481045723,0.21668125689029694,0.12953124940395355,0.112575002014637,0.3379167914390564,-0.1697080284357071,0.06922435015439987,0.20106999576091766
64,205,SavannahGrassland,2,64,POINT (491730.5340698785 1272986.2700153033),3575,0.0649319440126419,0.06440000236034393,0.09459999948740005,0.06260000169277191,0.14011874794960022,0.3760562539100647,0.4430062472820282,0.4699999988079071,0.47737500071525574,0.4245826303958893,0.27152499556541443,0.14154374599456787,-0.2676578760147095,-0.6648954749107361,0.7649267911911011,-0.44717222452163696
65,278,Forest,0,65,POINT (494859.74004311353 1279502.189807918),2248,0.038943056017160416,0.04839999973773956,0.07280000299215317,0.04780000075697899,0.11031875014305115,0.2386624962091446,0.2808000147342682,0.30399999022483826,0.3064500093460083,0.3031916618347168,0.18255625665187836,0.0939750000834465,-0.24959857761859894,-0.6135880947113037,0.7282546758651733,-0.42621541023254395
66,128,SavannahGrassland,2,66,POINT (492342.1581884809 1270768.488646366),3498,0.10183333605527878,0.06639999896287918,0.08739999681711197,0.07900000363588333,0.21013124287128448,0.32083749771118164,0.35238125920295715,0.3100000023841858,0.36874374747276306,0.34171876311302185,0.2982187569141388,0.21423125267028809,-0.01937008649110794,-0.5601409077644348,0.5938303470611572,-0.12420082092285156
67,152,SavannahGrassland,2,67,POINT (491770.8486169563 1272848.2755298638),3522,0.05933750048279762,0.06469999998807907,0.08980000019073486,0.08100000023841858,0.1350812464952469,0.23944999277591705,0.28700000047683716,0.3077999949455261,0.3211187422275543,0.337737500667572,0.24851875007152557,0.14272500574588776,-0.1065598651766777,-0.5482897162437439,0.5833333134651184,-0.24952828884124756
68,316,RoadsAndPavements,1,68,POINT (484110.6521965597 1286630.205323438),2986,0.12265069782733917,0.125,0.14180000126361847,0.15600000321865082,0.18198125064373016,0.20393125712871552,0.21656249463558197,0.1876000016927719,0.22842499613761902,0.26194027066230774,0.28793126344680786,0.2562375068664551,0.21098771691322327,-0.13904067873954773,0.09196740388870239,0.1374618411064148
69,373,BareLand,6,69,POINT (483523.01287669985 1287568.8846576235),1073,0.12215624749660492,0.15620000660419464,0.2199999988079071,0.28459998965263367,0.32710000872612,0.34130001068115234,0.35941874980926514,0.3515999913215637,0.3522312641143799,0.3480270802974701,0.4620312452316284,0.40645626187324524,0.13572640717029572,-0.2302309274673462,0.10531279444694519,0.15285924077033997
70,188,SavannahGrassland,2,70,POINT (491736.6409292115 1272994.377387224),3558,0.06435972452163696,0.06830000132322311,0.09350000321865082,0.06419999897480011,0.13754375278949738,0.37642499804496765,0.4426562488079071,0.4643999934196472,0.4794187545776367,0.4249034821987152,0.266337513923645,0.13478749990463257,-0.27104467153549194,-0.6648144721984863,0.7570942044258118,-0.45608609914779663
